Time X Y Z
0. 3.1141868512110733 2.4390243902439046 -13.8
0.00025 3.124081745522385 2.42729256261262 -13.801672541859878
0.0005 3.1339698219447047 2.415545437403699 -13.803314337537376
0.00075 3.143851038966983 2.403783078847587 -13.804925365280246
0.001 3.153725355077594 2.392005551220918 -13.806505603531123
0.00125 3.163592728764505 2.380212918846018 -13.808055030927527
0.0015 3.173453118515516 2.3684052460904996 -13.80957362630198
0.00175 3.1833064828184106 2.3565825973667858 -13.811061368682024
0.002 3.1931527801611286 2.3447450371316796 -13.812518237290385
0.0022500000000000003 3.2029919690320137 2.332892629885917 -13.813944211544902
0.0025 3.212824007919957 2.321025440173713 -13.815339271058743
0.00275 3.222648855314603 2.3091435325823184 -13.816703395640333
0.003 3.232466469706533 2.2972469717415933 -13.818036565293509
0.0032500000000000003 3.242276809587457 2.2853358223235314 -13.819338760217574
0.0035 3.2520798334504084 2.2734101490418177 -13.820609960807282
0.00375 3.2618754997899413 2.2614700166514186 -13.821850147652999
0.004 3.271663767102295 2.249515489948104 -13.823059301540674
0.00425 3.2814445938856096 2.237546633768001 -13.824237403451972
0.0045000000000000005 3.291217938640112 2.225563512987164 -13.825384434564256
0.00475 3.300983759868309 2.2135661925211396 -13.82650037625071
0.005 3.31074201607516 2.201554737324476 -13.827585210080313
0.00525 3.3204926657682994 2.1895292123903527 -13.828638917817967
0.0055 3.3302356674582025 2.1774896827500565 -13.829661481424507
0.00575 3.339970979658391 2.165436213472591 -13.83065288305674
0.006 3.3496985608856242 2.153368869664219 -13.83161310506754
0.00625 3.3594183696600908 2.1412877164680153 -13.83254213000584
0.006500000000000001 3.369130364505577 2.129192819063423 -13.833439940616694
0.00675 3.378834503949726 2.117084242665813 -13.834306519841341
0.007 3.3885307465241383 2.1049620525260413 -13.83514185081722
0.00725 3.3982190507646575 2.0928263139300127 -13.835945916878025
0.0075 3.4078993752114886 2.0806770921982203 -13.83671870155373
0.00775 3.4175716784094465 2.0685144526853048 -13.837460188570663
0.008 3.4272359189081065 2.056338460779644 -13.838170361851487
0.00825 3.43689205526203 2.044149181902873 -13.838849205515299
0.0085 3.4465400460309334 2.031946681509467 -13.839496703877586
0.00875 3.456179849779919 2.0197310250862706 -13.840112841450331
0.009000000000000001 3.465811425079621 2.0075022781520957 -13.840697602942026
0.00925 3.4754347305064424 1.9952605062572486 -13.841250973257672
0.0095 3.485049724642723 1.9830057749831087 -13.841772937498813
0.00975 3.4946563660769385 1.9707381499416783 -13.842263480963613
0.01 3.5042546134039148 1.9584576967751288 -13.84272258914684
0.01025 3.513844425225006 1.9461644811553858 -13.84315024773986
0.0105 3.5234257601482817 1.9338585687836836 -13.84354644263074
0.010750000000000001 3.5329985767887404 1.9215400253901112 -13.843911159904223
0.011 3.542562833768502 1.9092089167331774 -13.844244385841723
0.01125 3.5521184897169986 1.896865308599386 -13.844546106921428
0.0115 3.5616655032711684 1.8845092668027754 -13.844816309818224
0.01175 3.571203833075654 1.8721408571845024 -13.84505498140375
0.012 3.5807334377829987 1.8597601456123745 -13.845262108746464
0.01225 3.590254276053865 1.847367197980434 -13.845437679111571
0.0125 3.5997663065571692 1.8349620802085176 -13.84558167996109
0.012750000000000001 3.609269487970372 1.822544858241817 -13.845694098953862
0.013000000000000001 3.6187637789795755 1.8101155980504187 -13.84577492394553
0.01325 3.6282491382798026 1.797674365628915 -13.845824142988587
0.0135 3.6377255245751345 1.7852212269959173 -13.845841744332363
0.01375 3.6471928965789426 1.7727562481936472 -13.845827716423043
0.014 3.656651213014081 1.7602794952874903 -13.84578204790364
0.01425 3.6661004326130797 1.7477910343655656 -13.84570472761405
0.0145 3.6755405141183273 1.7352909315382883 -13.845595744591034
0.014750000000000001 3.6849714162823055 1.7227792529379202 -13.84545508806818
0.015 3.694393097867734 1.7102560647181517 -13.845282747475968
0.01525 3.703805517647834 1.6977214330536647 -13.845078712441712
0.0155 3.7132086344064796 1.685175424139684 -13.844842972789632
0.01575 3.722602406938404 1.6726181041915698 -13.84457551854075
0.016 3.731986794049406 1.6600495394443364 -13.844276339912984
0.01625 3.7413617545565434 1.6474697961522793 -13.843945427321064
0.0165 3.750727247288337 1.634878940588471 -13.843582771376564
0.01675 3.7600832310849746 1.6222770390444032 -13.843188362887895
0.017 3.769429664798486 1.6096641578294983 -13.84276219286029
0.01725 3.7787665072929806 1.597040363270686 -13.84230425249577
0.0175 3.7880937174447937 1.5844057217119951 -13.841814533193174
0.017750000000000002 3.797411254142748 1.571760299514095 -13.841293026548101
0.018000000000000002 3.8067190762883025 1.5591041630538705 -13.840739724352925
0.01825 3.816017142795779 1.5464373787239987 -13.840154618596785
0.0185 3.8253054125925563 1.5337600129325146 -13.839537701465535
0.01875 3.8345838446192593 1.52107213210237 -13.838888965341749
0.019 3.8438523978299752 1.5083738026710054 -13.838208402804689
0.01925 3.853111031192457 1.4956650910899372 -13.837496006630301
0.0195 3.862359703688286 1.4829460638243155 -13.836751769791174
0.01975 3.8715983743131277 1.470216787352478 -13.83597568545653
0.02 3.8808270020768836 1.4574773281655367 -13.835167746992166
0.02025 3.890045546003929 1.4447277527669613 -13.834327947960498
0.0205 3.8992539651332825 1.431968127672143 -13.83345628212046
0.02075 3.9084522185188293 1.4191985194079357 -13.832552743427513
0.021 3.917640265229509 1.4064189945122683 -13.831617326033612
0.02125 3.9268180643495354 1.3936296195336937 -13.830650024287152
0.021500000000000002 3.9359855749785666 1.3808304610309763 -13.829650832732963
0.021750000000000002 3.945142756231923 1.3680215855726532 -13.82861974611229
